SaleID,CustomerID,ProductID,SaleDate,Quantity,TotalAmount,DiscountApplied,PaymentMethod,ShippingAddress,OrderStatus
,,512,,9,142.76,25.92,Cash,"89550 Robinson Ridge
Hamiltonview, KS 94490",Cancelled
202,24,564,,4,2125.6,3.98,Online Payment,"81825 Frank Spurs Suite 923
West Suzannechester, VA 35057",Completed
203,169,554,12/7/2022,1,1837.02,69.07,Online Payment,"7404 Vargas Ville
Lake Edwinmouth, RI 08020",Pending
204,165,516,,4,179.42,42.82,Bank Transfer,"PSC 2385, Box 3590
APO AE 23061",Completed
,92,567,9/2/2022,2,1644.63,28.4,Online Payment,"680 Bonilla Ways
Port Lori, DE 72628",Pending
206,108,523,9/5/2022,3,445.77,38.53,Bank Transfer,"73280 Tyrone Road
Lake Logan, SD 87348",Pending
,59,515,,1,1033.41,73.67,Cash,"9829 Patton Villages Apt. 270
Kimberlyside, ID 27908",Cancelled
208,27,546,,9,306.31,87.01,Bank Transfer,"PSC 6858, Box 6986
APO AE 56439",Cancelled
209,77,599,8/31/2022,7,1033.73,96.23,Bank Transfer,"75320 Nelson Center
West Reginald, GA 53431",Completed
210,194,457,6/24/2022,4,765.62,48.31,Online Payment,"9632 Noble Trafficway
North Taylorfurt, FL 77111",Cancelled
211,111,483,10/11/2023,1,1157.49,18.38,Online Payment,"838 Richard Squares Apt. 438
Whiteburgh, WV 33847",Cancelled
212,107,512,12/24/2022,7,1222.11,87.1,Bank Transfer,"2483 Carpenter Ports Apt. 563
Lake Jamie, IA 40128",Cancelled
213,66,478,2/14/2024,3,821.41,19.49,Bank Transfer,"92323 Smith Loaf Apt. 138
Cookville, DE 28313",Pending
214,124,406,9/11/2023,7,2144,10.67,Bank Transfer,"PSC 2792, Box 3586
APO AP 59850",Completed
215,44,473,3/4/2024,6,2677.29,34.04,Credit Card,"14949 Pierce Roads
Port Davidton, SD 53611",Cancelled
216,56,503,2/26/2024,3,536.92,57.13,Credit Card,"74355 Harrison Greens Apt. 462
Tamarastad, CA 66287",Cancelled
217,146,489,2/25/2023,5,2504.31,10.63,Bank Transfer,"0241 Tristan Plain
Moralesview, ME 20854",Cancelled
218,13,494,8/7/2023,1,3796.08,33.04,Online Payment,"763 Neal Parkways Suite 226
West Kathryn, GA 97001",Completed
219,166,447,2/18/2023,1,735.27,50.8,Online Payment,"708 Gregory Via
Sarahberg, NJ 99225",Completed
220,44,421,11/27/2023,3,1840.18,12.17,Cash,"24965 Esparza Plains
Port Richardville, AZ 88812",Completed
221,172,589,1/18/2024,7,895.48,5.74,Online Payment,"206 Cisneros Ford
South Arielchester, AZ 66297",Pending
222,88,453,12/21/2023,8,187.64,54.96,Credit Card,"1896 Smith Skyway
New Darrenbury, IL 87033",Completed
223,7,403,9/24/2023,5,1562.11,55.54,Credit Card,"04267 Brown Motorway
South Thomastown, ND 97925",Pending
224,169,579,6/30/2022,5,1555.4,20.18,Bank Transfer,"45335 Abbott Plaza
Swansonfurt, WI 05131",Completed
225,79,467,12/4/2023,4,3350.92,66.4,Credit Card,"014 Jeffrey Mountain Apt. 699
Johnville, ID 78535",Pending
226,119,561,9/26/2023,1,812.87,8.18,Bank Transfer,"9072 Howell Highway Apt. 996
Port Brenda, TN 10572",Pending
227,48,511,3/6/2024,6,4002.07,55.55,Credit Card,"409 Sanchez Burgs
Castanedafurt, ND 93650",Cancelled
228,153,427,12/17/2023,6,2308.46,37.82,Cash,"309 Matthew Trafficway
Ayersshire, ID 53761",Cancelled
229,121,432,10/25/2022,4,560.35,65.62,Cash,"645 Anne Trail
Aliciaborough, CA 17768",Cancelled
230,124,436,2/13/2023,1,2466.01,37.68,Credit Card,"0902 Mann Hills
Lake Heidi, IL 83963",Completed
231,37,410,8/22/2023,9,2318.1,24.59,Cash,"37768 Sanders Motorway
Johnsonland, MA 19688",Completed
232,198,547,3/8/2024,5,716.89,4.23,Bank Transfer,"5926 Steele Loop
Gomezside, DC 03139",Pending
233,144,466,10/26/2022,2,2405.47,87.04,Bank Transfer,"584 Kevin Estates
West Christopherbury, UT 77260",Cancelled
234,117,505,1/21/2024,7,1133.52,27.89,Credit Card,"589 Schmidt Freeway
New Travismouth, MO 92023",Cancelled
235,197,574,12/4/2023,7,1371.48,15.71,Cash,"249 David Orchard
Hillborough, MD 36434",Completed
236,118,579,10/21/2022,8,914.75,22.74,Cash,"51905 Wagner Branch Apt. 059
Whiteview, ME 24649",Cancelled
237,66,421,7/8/2023,1,1842.29,15.19,Online Payment,"01013 Peter River
Port Saraview, ND 58045",Pending
238,129,552,8/6/2022,3,3083.77,42.4,Credit Card,"024 Stephanie Ford
Margarethaven, TN 01097",Completed
239,140,457,2/15/2023,9,818.67,28.77,Online Payment,"5214 Kristy Ports Suite 859
Port Petertown, DC 22433",Completed
240,87,502,6/7/2023,4,887.06,33.19,Cash,"3270 Cynthia Stravenue Apt. 129
Debratown, MA 69927",Cancelled
241,132,443,4/5/2023,5,445.39,36.75,Bank Transfer,"530 Victor Street Suite 824
North Brandon, WV 39596",Completed
242,177,488,3/20/2024,9,1288.64,30.27,Bank Transfer,"USNS Krueger
FPO AP 35655",Completed
243,71,432,6/30/2023,4,461.54,35.83,Bank Transfer,"38718 Jeffrey Port
New Matthew, VT 87998",Cancelled
244,143,448,11/2/2023,2,1478.39,22.89,Cash,"81423 Rebecca Coves Suite 130
Danielmouth, RI 38383",Pending
245,154,507,1/17/2023,3,1082.79,39.01,Online Payment,"3342 Bruce Junctions
Aprilhaven, NM 43270",Cancelled
246,3,401,11/27/2022,4,2132.17,31.07,Bank Transfer,"995 Church Extensions
Candaceland, KY 93866",Completed
247,20,559,12/27/2023,4,666.95,63.11,Credit Card,"4337 Clark Haven
Markbury, WA 68689",Completed
248,109,583,11/9/2023,4,1336.65,62.29,Bank Transfer,"444 Moore Run
Mcdowellchester, NE 88421",Completed
249,160,451,12/9/2023,6,312.4,7.69,Cash,"169 Diaz Mission
Stewartmouth, NJ 28908",Completed
250,38,539,12/26/2023,7,531.25,56.14,Cash,"841 Miller Divide
Hardingmouth, MN 55140",Completed
251,128,409,11/21/2023,8,222.15,29.31,Credit Card,"241 Becky Freeway Apt. 494
Cohenland, WA 95998",Completed
252,11,465,11/1/2022,3,2269.43,27.72,Bank Transfer,"53601 King Junction
Ryanville, MT 42843",Completed
253,75,495,3/29/2023,2,2084.96,52.95,Online Payment,"93719 Ashley Shoals Apt. 170
East Dan, NE 89556",Cancelled
254,47,406,9/30/2022,2,3283.27,33.55,Credit Card,"9941 Crystal Forks Suite 130
North Jeffrey, NJ 15233",Completed
255,122,409,12/21/2022,6,809.25,86.87,Cash,"433 Kennedy Trail
Riosbury, AZ 90485",Pending
256,151,565,12/24/2022,7,1691.15,5.66,Cash,"PSC 7326, Box 5734
APO AA 28031",Pending
257,115,546,1/14/2023,4,447.06,87.43,Credit Card,"2898 Rachel Square
New Noahborough, MS 80710",Cancelled
258,165,419,8/14/2023,8,1881.06,51.67,Cash,"Unit 3211 Box 3461
DPO AE 74236",Completed
259,140,539,3/4/2023,5,744.54,5.86,Cash,"7688 Kathryn Overpass Suite 169
Heidifort, RI 24371",Cancelled
260,70,459,10/19/2023,2,185.36,12.76,Bank Transfer,"USCGC Hale
FPO AE 36338",Cancelled
261,164,550,11/22/2023,2,1212.73,19.54,Cash,"569 Daniel Road
Calvinville, MO 61626",Cancelled
262,75,457,7/13/2022,9,626.89,10.25,Credit Card,"USNV Hanson
FPO AA 56007",Completed
263,35,454,4/26/2023,8,819.97,11.68,Credit Card,"4928 Stephanie Creek Apt. 243
Jonathanville, NH 06577",Completed
264,138,416,3/23/2023,6,2229,83.37,Online Payment,"997 Acosta Rest
Brendaberg, IA 11705",Cancelled
265,34,406,9/15/2023,5,1000.59,82.85,Online Payment,"USCGC Tanner
FPO AA 75350",Cancelled
266,49,430,10/14/2023,6,374.58,45.07,Cash,"76803 Rebecca Groves Apt. 655
South Valerie, CO 59354",Cancelled
267,109,416,2/17/2024,1,2400.13,13.75,Cash,"USNS Mclean
FPO AA 76273",Completed
268,159,457,1/31/2023,5,1205.33,50.33,Credit Card,"048 Xavier Mountains
New Laura, VT 44522",Completed
269,117,466,3/28/2023,7,1535.92,5.03,Bank Transfer,"63680 Washington Forge Suite 567
Shannonborough, ND 38080",Completed
270,159,594,5/3/2024,7,1761.04,4.8,Bank Transfer,"3232 Cox Cliff
East Hailey, GA 28257",Cancelled
271,186,441,6/1/2023,3,2415.19,12.73,Cash,"1554 Mark Mount Apt. 894
Lake Jason, SC 69366",Cancelled
272,5,569,11/29/2022,9,3094.33,48.82,Credit Card,"948 Amanda Shores
Hodgemouth, WA 98267",Pending
273,182,491,11/18/2023,7,1012.69,19.69,Bank Transfer,"8900 Robbins Tunnel Apt. 595
North Lisa, MN 47146",Cancelled
274,72,403,3/17/2023,1,1640.45,7.17,Credit Card,"76418 Amy Key Apt. 114
Lake John, AK 13315",Completed
275,29,543,11/12/2023,2,712.29,15.48,Online Payment,"9583 Santos Circles Suite 463
Cooleyberg, AL 03911",Pending
276,47,572,3/29/2024,3,2330.4,5.99,Cash,"5955 Elizabeth Grove Apt. 309
Ricefort, KS 23040",Completed
277,8,401,3/24/2024,2,3340.57,19.93,Bank Transfer,"2779 Huffman Shores Suite 615
East David, CA 56644",Pending
278,175,538,9/3/2023,2,3894.72,17.09,Bank Transfer,"536 Leach Locks Suite 696
Merrittchester, WA 31097",Completed
279,89,532,4/8/2024,8,952.54,41.65,Cash,"9981 Mercado Plaza
Lake Katherineville, OH 51939",Completed
280,33,513,7/25/2022,5,302.57,63.31,Credit Card,"8132 Elizabeth Walk
Kelleyburgh, MT 34510",Cancelled
281,54,518,3/19/2023,7,1629.96,73.02,Online Payment,"49229 Leslie Springs
Justintown, TN 01904",Cancelled
282,155,407,3/7/2024,3,1494.01,8.08,Credit Card,"183 Price Glens Apt. 340
Irwinbury, FL 48063",Completed
283,21,514,3/10/2024,2,760.89,5.24,Credit Card,"1514 Stevenson Forge Suite 707
Smithborough, MT 86234",Cancelled
284,24,497,5/5/2024,9,1779.04,28.91,Credit Card,"941 Kimberly Shore Suite 037
New Brenda, NE 72322",Cancelled
285,151,413,12/27/2023,1,2092.85,22.63,Credit Card,"524 Misty Lights
West Brian, AR 03768",Pending
286,73,435,2/24/2023,2,647.99,21.3,Bank Transfer,"57019 Osborne Village
Kristenmouth, LA 65576",Cancelled
287,172,405,3/26/2023,1,1552.75,52,Cash,"75663 Mark Union Suite 820
Lake Dominic, PA 76628",Pending
288,28,536,9/25/2022,7,873.32,20.97,Credit Card,"896 Jason Junction Apt. 375
New Aaronmouth, ND 84297",Cancelled
289,186,543,2/17/2023,3,231.09,16.45,Credit Card,"Unit 7470 Box 6072
DPO AA 83283",Pending
290,99,485,3/20/2023,8,787.78,19.69,Online Payment,"4465 Pamela Lodge Suite 409
South Kara, NJ 64550",Cancelled
291,14,508,10/29/2022,8,3272.99,10.97,Credit Card,"7806 Terrell Squares
North Loriview, NH 74278",Cancelled
292,160,525,12/19/2022,8,2284.45,6.54,Credit Card,"59900 Washington Hollow Suite 503
Heathertown, IA 05605",Pending
293,197,578,9/11/2023,5,456.74,24.4,Credit Card,"805 Clifford Harbors
New Russellshire, LA 12995",Completed
294,124,558,12/3/2022,2,308.91,54.07,Bank Transfer,"3682 Jessica Key Suite 782
South Tylerfort, CT 34423",Cancelled
295,59,587,2/11/2024,4,721.78,11.2,Credit Card,"7195 Henson Mount
Butlerstad, LA 37175",Cancelled
296,158,594,11/14/2023,8,604.73,16.71,Credit Card,"694 Montes Islands
East Kyle, DC 04172",Cancelled
297,118,564,2/14/2023,5,1471.95,7.68,Credit Card,"4015 Rogers Throughway Suite 021
North Felicialand, MA 03182",Cancelled
298,171,417,9/3/2022,2,1930.47,42.11,Bank Transfer,"4506 Michael Squares Apt. 742
Anthonyberg, CA 06236",Pending
299,165,442,5/21/2023,6,2325.28,34.84,Credit Card,"30904 William Flat
South Travis, MN 90141",Pending
